mattID1,KeggMatch
urea,Urea
a-alanine,L-Alanine
glutamic acid,glutamate
glycine,Glycine
l-asparagine,L-Asparagine
l-aspartic acid,L-Aspartic acid
l-threonine,L-Threonine
l-tryptophan,L-Tryptophan
lysine,L-Lysine
N-acetyl-l-methionine,l-methionine
l-lysine,L-Lysine
n-acetyl-l-tyrosine,L-Tyrosine
ornithine,Ornithine
phenylalanine,L-Phenylalanine
proline,L-Proline
serine,L-Serine
9h-purine,Purine
leucine,L-Leucine
butanoic acid,Butyric acid
propanoic acid,Propionic acid
myo-inositol,Myoinositol
Butanedioic acid,Succinic acid
pentanedioic acid,Glutaric acid
2-butenedioic acid,Maleic acid
uric acid,Uric acid
"creatinine enol n1, n3",Creatinine
hexadecanoic acid,Palmitic acid
"1,4-Butanediamine",Putrescine
d-galactose,D-Galactose
d-glucose,D-Glucose
d-ribose,D-Ribose
Niacinamide,Niacinamide
phosphoric acid,Phosphoric acid
uridine,Uridine
maltose,D-Maltose
phosphate,Phosphate
pterine ,Pterin
adenosine,Adenosine
guanosine,Guanosine
inosine,Inosine
pyrimidine,Pyrimidine
Octadecanoic acid,Stearic acid
pentanoic acid,Valeric acid
"1,2,3-propanetricarboxylic acid",Unknown
erythrotetrofuranose,Unknown
proline derivative,Unknown
