Query,Match
"9,12-octadecadienoic acid",Linoleic acid
9h-purine,Purine
adenosine tetrakis,adenosine
Butanedioic acid,Succinic acid
Creatinine enol,Creatinine
d-glucose,D-Glucose
d-mannose,D-Mannose
d-ribose,D-Ribose
dodecenol,Unknown
galactose,D-Galactose
gluconic acid,Gluconic acid
glutamic acid,glutamate
glycine,Glycine
guanosine,Guanosine
hexadecanoic acid,Palmitic acid
hexanedioic acid,not endogenous
l-proline,L-Proline
l-threonine,L-Threonine
maltose,D-Maltose
myo-inositol,Myoinositol
octadecanoic acid,Stearic acid
pentanedioic acid,Glutaric acid
phosphate,Phosphate
propanoic acid,Propionic acid
pyrimidine,Pyrimidine
serine,L-Serine
inosine,Inosine
